idid;nev;megye;jaras;kisterseg;nepesseg;terulet;iranyitoszam;miota_varos;tipus
262;Sásd;Baranya;Hegyháti;Sásdi;2 935;14,88;7370;1995;járásszékhely város
263;Sátoraljaújhely;Borsod-Abaúj-Zemplén;Sátoraljaújhelyi;Sátoraljaújhelyi;13 972;73,45;3980;1899;járásszékhely város
264;Sellye;Baranya;Sellyei;Sellyei;2 448;25,18;7960;1997;járásszékhely város
265;Siklós;Baranya;Siklósi;Siklósi;8 912;50,92;7800;1977;járásszékhely város
266;Simontornya;Tolna;Tamási;Tamási;3 839;33,83;7081;1995;város
267;Siófok;Somogy;Siófoki;Siófoki;25 708;124,66;8600;1968;járásszékhely város
268;Solt;Bács-Kiskun;Kalocsai;Kalocsai;6 102;132,67;6320;1997;város
269;Soltvadkert;Bács-Kiskun;Kiskőrösi;Kiskőrösi;7 259;108,86;6230;1993;város
270;Sopron;Győr-Moson-Sopron;Soproni;Sopron-Fertődi;62 671;169,04;9400;1500;megyei jogú város
271;Sülysáp;Pest;Nagykátai;Nagykátai;8 641;47,19;2241;2013;város
272;Sümeg;Veszprém;Sümegi;Sümegi;6 024;64,13;8330;1984;járásszékhely város
273;Szabadszállás;Bács-Kiskun;Kunszentmiklósi;Kunszentmiklósi;6 083;164,62;6080;1995;város
274;Szarvas;Békés;Szarvasi;Szarvasi;15 606;161,57;5540;1966;járásszékhely város
275;Százhalombatta;Pest;Érdi;Érdi;18 082;28,06;2440;1970;város
276;Szécsény;Nógrád;Szécsényi;Szécsényi;5 615;45,67;3170;1986;járásszékhely város
277;Szeged;Csongrád-Csanád;Szegedi;Szegedi;160 766;280,99;6700;1500;megyeszékhely megyei jogú város
278;Szeghalom;Békés;Szeghalmi;Szeghalomi;8 566;217,13;5520;1984;járásszékhely város
279;Székesfehérvár;Fejér;Székesfehérvári;Székesfehérvári;96 940;170,89;8000;1500;megyeszékhely megyei jogú város
280;Szekszárd;Tolna;Szekszárdi;Szekszárdi;31 795;96,28;7100;1905;megyeszékhely megyei jogú város
281;Szendrő;Borsod-Abaúj-Zemplén;Edelényi;Edelényi;4 175;53,56;3752;1996;város
282;Szentendre;Pest;Szentendrei;Szentendrei;26 745;43,82;2000;1500;járásszékhely város
283;Szentes;Csongrád-Csanád;Szentesi;Szentesi;26 887;353,25;6600;1500;járásszékhely város
284;Szentgotthárd;Vas;Szentgotthárdi;Szentgotthárdi;8 819;67,73;9970;1983;járásszékhely város
285;Szentlőrinc;Baranya;Szentlőrinci;Szentlőrinci;6 184;27,81;7940;1996;járásszékhely város
286;Szerencs;Borsod-Abaúj-Zemplén;Szerencsi;Szerencsi;8 581;36,68;3900;1984;járásszékhely város
287;Szigethalom;Pest;Szigetszentmiklósi;Ráckevei;17 791;9,12;2315;2004;város
288;Szigetszentmiklós;Pest;Szigetszentmiklósi;Ráckevei;39 310;45,65;2310;1986;járásszékhely város
289;Szigetvár;Baranya;Szigetvári;Szigetvári;10 421;39,52;7900;1966;járásszékhely város
290;Szikszó;Borsod-Abaúj-Zemplén;Szikszói;Szikszói;5 231;36,23;3800;1989;járásszékhely város
291;Szob;Pest;Szobi;Szobi;2 557;17,97;2628;2000;járásszékhely város
292;Szolnok;Jász-Nagykun-Szolnok;Szolnoki;Szolnoki;71 285;187,24;5000;1500;megyeszékhely megyei jogú város
293;Szombathely;Vas;Szombathelyi;Szombathelyi;78 407;97,5;9700;1500;megyeszékhely megyei jogú város
294;Tab;Somogy;Tabi;Tabi;4 238;25,86;8660;1989;járásszékhely város
295;Tamási;Tolna;Tamási;Tamási;7 906;111,95;7090;1984;járásszékhely város
296;Tápiószele;Pest;Nagykátai;Nagykátai;5 827;36,99;2766;2009;város
297;Tapolca;Veszprém;Tapolcai;Tapolcai;14 988;63,46;8300;1966;járásszékhely város
298;Tát;Komárom-Esztergom;Esztergomi;Esztergomi;5 273;12,06;2534;2013;város
299;Tata;Komárom-Esztergom;Tatai;Tatai;23 441;78,11;2890;1954;járásszékhely város
300;Tatabánya;Komárom-Esztergom;Tatabányai;Tatabányai;65 845;91,42;2800;1947;megyeszékhely megyei jogú város
301;Téglás;Hajdú-Bihar;Hajdúhadházi;Hajdúhadházi;6 235;38,33;4243;1991;város
302;Tét;Győr-Moson-Sopron;Téti;Téti;4 169;56,35;9100;2001;járásszékhely város
303;Tiszacsege;Hajdú-Bihar;Balmazújvárosi;Balmazújvárosi;4 515;136,4;4066;2000;város
304;Tiszaföldvár;Jász-Nagykun-Szolnok;Kunszentmártoni;Kunszentmártoni;10 417;80,34;5430;1993;város
305;Tiszafüred;Jász-Nagykun-Szolnok;Tiszafüredi;Tiszafüredi;10 631;162,19;5350;1984;járásszékhely város
306;Tiszakécske;Bács-Kiskun;Tiszakécskei;Kecskeméti;12 064;133,27;6060;1986;járásszékhely város
307;Tiszalök;Szabolcs-Szatmár-Bereg;Tiszavasvári;Tiszavasvári;5 228;58,73;4450;1992;város
308;Tiszaújváros;Borsod-Abaúj-Zemplén;Tiszaújvárosi;Tiszaújvárosi;15 156;46,04;3580;1966;járásszékhely város
309;Tiszavasvári;Szabolcs-Szatmár-Bereg;Tiszavasvári;Tiszavasvári;12 376;128,54;4440;1986;járásszékhely város
310;Tokaj;Borsod-Abaúj-Zemplén;Tokaji;Tokaji;3 966;28,2;3910;1986;járásszékhely város
311;Tolna;Tolna;Tolnai;Szekszárdi;11 053;71,07;7130;1989;járásszékhely város
312;Tompa;Bács-Kiskun;Kiskunhalasi;Kiskunhalasi;4 286;81,57;6422;2004;város
313;Tótkomlós;Békés;Orosházi;Orosházi;5 615;125,05;5940;1993;város
314;Tököl;Pest;Szigetszentmiklósi;Ráckevei;10 235;38,49;2316;2001;város
315;Törökbálint;Pest;Érdi;Budaörsi;14 045;29,4;2045;2007;város
316;Törökszentmiklós;Jász-Nagykun-Szolnok;Törökszentmiklósi;Törökszentmiklósi;19 827;185,16;5200;1952;járásszékhely város
317;Tura;Pest;Aszódi;Aszódi;7 735;55,92;2194;2001;város
318;Túrkeve;Jász-Nagykun-Szolnok;Mezőtúri;Mezőtúri;8 230;236,52;5420;1500;város
319;Újfehértó;Szabolcs-Szatmár-Bereg;Nyíregyházi;Nagykállói;12 292;140,88;4244;1992;város
320;Újhartyán;Pest;Dabasi;Dabasi;2 717;22,43;2367;2013;város
321;Újkígyós;Békés;Békéscsabai;Békéscsabai;4 897;54,92;5661;2009;város
322;Újszász;Jász-Nagykun-Szolnok;Szolnoki;Szolnoki;5 913;58,2;5052;1997;város
323;Üllő;Pest;Vecsési;Monori;12 185;48,1;2225;2005;város
324;Vác;Pest;Váci;Váci;32 828;61,6;2600;1500;járásszékhely város
325;Vaja;Szabolcs-Szatmár-Bereg;Mátészalkai;Mátészalkai;3 552;28,61;4562;2009;város
326;Vámospércs;Hajdú-Bihar;Nyíradonyi;Hajdúhadházi;5 261;58,2;4287;2001;város
327;Várpalota;Veszprém;Várpalotai;Várpalotai;19 436;77,26;8100;1951;járásszékhely város
328;Vásárosnamény;Szabolcs-Szatmár-Bereg;Vásárosnaményi;Vásárosnaményi;8 515;65,67;4800;1978;járásszékhely város
329;Vasvár;Vas;Vasvári;Vasvári;4 130;55,1;9800;1986;járásszékhely város
330;Vecsés;Pest;Vecsési;Monori;21 161;36,17;2220;2001;járásszékhely város
331;Velence;Fejér;Gárdonyi;Gárdonyi;6 441;33,37;2481;2004;város
332;Vép;Vas;Szombathelyi;Szombathelyi;3 293;32,89;9751;2009;város
333;Veresegyház;Pest;Gödöllői;Veresegyházi;19 275;28,56;2112;1999;város
334;Verpelét;Heves;Egri;Egri;3 750;53,18;3351;2013;város
335;Veszprém;Veszprém;Veszprémi;Veszprémi;59 738;126,9;8200;1500;megyeszékhely megyei jogú város
336;Vésztő;Békés;Szeghalmi;Szeghalomi;6 488;125,7;5530;2001;város
337;Villány;Baranya;Siklósi;Siklósi;2 282;22,02;7773;2000;város
338;Visegrád;Pest;Szentendrei;Szentendrei;1 879;33,27;2025;2000;város
339;Záhony;Szabolcs-Szatmár-Bereg;Záhonyi;Záhonyi;4 212;6,94;4625;1989;járásszékhely város
340;Zalaegerszeg;Zala;Zalaegerszegi;Zalaegerszegi;57 403;102,46;8900;1885;megyeszékhely megyei jogú város
341;Zalakaros;Zala;Nagykanizsai;Zalakarosi;1 988;17,17;8749;1997;város
342;Zalalövő;Zala;Zalaegerszegi;Zalaegerszegi;2 857;52,64;8999;2000;város
343;Zalaszentgrót;Zala;Zalaszentgróti;Zalaszentgróti;6 172;74,65;8790;1984;járásszékhely város
344;Zamárdi;Somogy;Siófoki;Siófoki;2 501;45,15;8621;2008;város
345;Zirc;Veszprém;Zirci;Zirci;6 831;37,4;8420;1984;járásszékhely város
346;Zsámbék;Pest;Budakeszi;Pilisvörösvári;5 585;33,66;2072;2009;város
