idid;nev;megye;jaras;kisterseg;nepesseg;terulet;iranyitoszam;miota_varos;tipus
80;Emőd;Borsod-Abaúj-Zemplén;Miskolci;Miskolci;4 641;49,37;3432;2001;város
81;Encs;Borsod-Abaúj-Zemplén;Encsi;Encsi;6 198;25,8;3860;1984;járásszékhely város
82;Enying;Fejér;Enyingi;Enyingi;6 615;82,78;8130;1992;járásszékhely város
83;Ercsi;Fejér;Martonvásári;Martonvásári;8 065;65,31;2451;2000;város
84;Érd;Pest;Érdi;Érdi;68 211;63,31;2030;1978;megyei jogú város
85;Esztergom;Komárom-Esztergom;Esztergomi;Esztergomi;28 144;100,11;2500;1500;járásszékhely város
86;Fegyvernek;Jász-Nagykun-Szolnok;Törökszentmiklósi;Törökszentmiklósi;6 104;71,48;5231;2013;város
87;Fehérgyarmat;Szabolcs-Szatmár-Bereg;Fehérgyarmati;Fehérgyarmati;7 898;52,46;4900;1978;járásszékhely város
88;Felsőzsolca;Borsod-Abaúj-Zemplén;Miskolci;Miskolci;6 373;16,25;3561;1997;város
89;Fertőd;Győr-Moson-Sopron;Soproni;Sopron-Fertődi;3 326;48,55;9431;1995;város
90;Fertőszentmiklós;Győr-Moson-Sopron;Soproni;Sopron-Fertődi;3 846;39,38;9444;2008;város
91;Fonyód;Somogy;Fonyódi;Fonyódi;4 813;53,55;8640;1989;járásszékhely város
92;Fót;Pest;Dunakeszi;Dunakeszi;20 097;37,4;2151;2004;város
93;Füzesabony;Heves;Füzesabonyi;Füzesabonyi;7 360;46,34;3390;1989;járásszékhely város
94;Füzesgyarmat;Békés;Szeghalmi;Szeghalomi;5 527;127,34;5525;2000;város
95;Gárdony;Fejér;Gárdonyi;Gárdonyi;11 679;63,5;2483;1989;járásszékhely város
96;Göd;Pest;Dunakeszi;Dunakeszi;19 871;24,44;2131;1999;város
97;Gödöllő;Pest;Gödöllői;Gödöllői;32 099;61,93;2100;1966;járásszékhely város
98;Gönc;Borsod-Abaúj-Zemplén;Gönci;Abaúj-Hegyközi;1 972;37,27;3895;2001;járásszékhely város
99;Gyál;Pest;Gyáli;Gyáli;23 893;24,93;2360;1997;járásszékhely város
100;Gyomaendrőd;Békés;Gyomaendrődi;Szarvasi;12 784;303,94;5500;1989;járásszékhely város
101;Gyömrő;Pest;Monori;Monori;18 977;26,51;2230;2001;város
102;Gyöngyös;Heves;Gyöngyösi;Gyöngyösi;29 176;55,31;3200;1500;járásszékhely város
103;Gyöngyöspata;Heves;Gyöngyösi;Gyöngyösi;2 385;60,75;3035;2013;város
104;Gyönk;Tolna;Tamási;Tamási;1 853;38,11;7064;2009;város
105;Győr;Győr-Moson-Sopron;Győri;Győri;132 038;174,62;9000;1500;megyeszékhely megyei jogú város
106;Gyula;Békés;Gyulai;Gyulai;29 308;255,79;5700;1500;járásszékhely város
107;Hajdúböszörmény;Hajdú-Bihar;Hajdúböszörményi;Hajdúböszörményi;30 267;370,74;4220;1500;járásszékhely város
108;Hajdúdorog;Hajdú-Bihar;Hajdúböszörményi;Hajdúböszörményi;8 441;100,64;4087;1989;város
109;Hajdúhadház;Hajdú-Bihar;Hajdúhadházi;Hajdúhadházi;12 681;87,82;4242;1991;járásszékhely város
110;Hajdúnánás;Hajdú-Bihar;Hajdúnánási;Hajdúböszörményi;16 644;259,64;4080;1500;járásszékhely város
111;Hajdúsámson;Hajdú-Bihar;Debreceni;Hajdúhadházi;13 269;69,47;4251;2004;város
112;Hajdúszoboszló;Hajdú-Bihar;Hajdúszoboszlói;Hajdúszoboszlói;24 009;238,62;4200;1500;járásszékhely város
113;Hajós;Bács-Kiskun;Kalocsai;Kalocsai;2 811;89,92;6344;2008;város
114;Halásztelek;Pest;Szigetszentmiklósi;Ráckevei;11 096;8,64;2314;2008;város
115;Harkány;Baranya;Siklósi;Siklósi;4 632;25,69;7815;1999;város
116;Hatvan;Heves;Hatvani;Hatvani;20 228;66,31;3000;1945;járásszékhely város
117;Herend;Veszprém;Veszprémi;Veszprémi;3 349;19,56;8440;1999;város
118;Heves;Heves;Hevesi;Hevesi;10 111;99,31;3360;1984;járásszékhely város
119;Hévíz;Zala;Keszthelyi;Hévízi;4 523;8,3;8380;1992;város
120;Hódmezővásárhely;Csongrád-Csanád;Hódmezővásárhelyi;Hódmezővásárhelyi;43 311;487,98;6800;1500;megyei jogú város
121;Ibrány;Szabolcs-Szatmár-Bereg;Ibrányi;Ibrány-Nagyhalászi;6 608;60,43;4484;1993;járásszékhely város
122;Igal;Somogy;Kaposvári;Kaposvári;1 372;36,06;7275;2009;város
123;Isaszeg;Pest;Gödöllői;Gödöllői;11 513;54,83;2117;2008;város
124;Izsák;Bács-Kiskun;Kiskőrösi;Kiskőrösi;5 515;113,76;6070;1997;város
125;Jánoshalma;Bács-Kiskun;Jánoshalmai;Jánoshalmai;8 280;132,21;6440;1989;járásszékhely város
126;Jánosháza;Vas;Celldömölki;Celldömölki;2 430;23,41;9545;2013;város
127;Jánossomorja;Győr-Moson-Sopron;Mosonmagyaróvári;Mosonmagyaróvári;6 283;148,94;9241;2004;város
128;Jászapáti;Jász-Nagykun-Szolnok;Jászapáti;Jászberényi;8 299;78,16;5130;1989;járásszékhely város
129;Jászárokszállás;Jász-Nagykun-Szolnok;Jászberényi;Jászberényi;7 691;77,17;5123;1991;város
130;Jászberény;Jász-Nagykun-Szolnok;Jászberényi;Jászberényi;27 439;221,35;5100;1500;járásszékhely város
131;Jászfényszaru;Jász-Nagykun-Szolnok;Jászberényi;Jászberényi;6 168;76,16;5126;1993;város
132;Jászkisér;Jász-Nagykun-Szolnok;Jászapáti;Jászberényi;5 092;130,11;5137;2009;város
133;Kaba;Hajdú-Bihar;Püspökladányi;Püspökladányi;5 584;95,04;4183;2003;város
134;Kadarkút;Somogy;Kaposvári;Kadarkúti;2 384;39,74;7530;2005;város
135;Kalocsa;Bács-Kiskun;Kalocsai;Kalocsai;15 280;53,18;6300;1921;járásszékhely város
136;Kaposvár;Somogy;Kaposvári;Kaposvári;61 441;113,59;7400;1500;megyeszékhely megyei jogú város
137;Kapuvár;Győr-Moson-Sopron;Kapuvári;Kapuvár-Beledi;10 234;96,05;9330;1969;járásszékhely város
138;Karcag;Jász-Nagykun-Szolnok;Karcagi;Karcagi;19 481;368,63;5300;1500;járásszékhely város
139;Kazincbarcika;Borsod-Abaúj-Zemplén;Kazincbarcikai;Kazincbarcikai;25 981;36,64;3700;1954;járásszékhely város
